PUBLICATION_DATE,UID,SAMPLE_TYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,UNIQUE_ID,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,LAB_SAMPLE_ID,DATE_ANALYZED,DATE_RECEIVED,HOLDING_TIME,HOLDING_TIME_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RESULT,RESULT_UNITS,VOLUME_FILTERED,VOLUME_FILTERED_UNITS,RL,RL_UNITS,EXTRACT,EXTRACT_UNITS,QA_FLAG,NARS_FLAG,NARS_COMMENT
6/1/2026,2021885,PBIO,NRS23_AZ_10001,4/23/2023,1,AZ,NRS_AZ-10690,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234602,2310002,8/2/2023,4/26/2023,101,days,9.6,mg/L,0.03636,mg/cm2,25,mL,1,mg,0.2,mg,LRL,"S,L",
6/1/2026,2021886,PBIO,NRS23_AZ_10043,4/24/2023,1,AZ,NRS_AZ-10714,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234582,2310001,8/2/2023,4/26/2023,100,days,466,mg/L,1.747,mg/cm2,25,mL,1,mg,11.7,mg,,,
6/1/2026,2021888,PBIO,NRS23_AZ_10051,4/26/2023,1,AZ,NRS_AZ-10722,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234522,2310003,8/2/2023,4/28/2023,98,days,965,mg/L,3.619,mg/cm2,25,mL,1,mg,24.1,mg,,,
6/1/2026,2021889,PBIO,NRS23_AZ_10058,4/27/2023,1,AZ,NRS_AZ-10731,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234542,2310004,8/2/2023,4/28/2023,97,days,133,mg/L,0.4988,mg/cm2,25,mL,1,mg,3.3,mg,,,
6/1/2026,2021890,PBIO,NRS23_AZ_10050,4/30/2023,1,AZ,NRS_AZ-10721,PESD-AL,PERIPHYTON,REGULAR,AFDM,NO_RESULT,236842,,,,,,,,,,,,,,,,,NR,Invalid measurment
6/1/2026,2021893,PBIO,NRS23_AZ_10109,5/2/2023,1,AZ,NRS_AZ-11317,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234662,2310006,8/2/2023,5/4/2023,92,days,252,mg/L,0.945,mg/cm2,25,mL,1,mg,6.3,mg,,,
6/1/2026,2021898,PBIO,NRS23_AZ_10057,5/3/2023,1,AZ,NRS_AZ-10730,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,236862,2310007,8/2/2023,5/5/2023,91,days,78.8,mg/L,0.2955,mg/cm2,25,mL,1,mg,2,mg,,,
6/1/2026,2021899,PBIO,NRS23_AZ_10119,5/7/2023,1,AZ,NRS_AZ-11327,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234682,2310008,8/2/2023,5/9/2023,87,days,139,mg/L,0.5212,mg/cm2,25,mL,1,mg,3.5,mg,,,
6/1/2026,2021900,PBIO,NRS23_AZ_10001,5/8/2023,2,AZ,NRS_AZ-10690,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,236822,2310009,8/2/2023,5/10/2023,86,days,50.8,mg/L,0.1905,mg/cm2,25,mL,1,mg,1.3,mg,,,
6/1/2026,2021901,PBIO,NRS23_AZ_10011,5/9/2023,1,AZ,NRS_AZ-10698,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234642,2310010,8/2/2023,5/11/2023,85,days,516,mg/L,1.935,mg/cm2,25,mL,1,mg,12.9,mg,,,
6/1/2026,2021908,PBIO,NRS23_AZ_10053,5/11/2023,1,AZ,NRS_AZ-10729,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,232242,2310011,8/2/2023,5/13/2023,83,days,95.6,mg/L,0.3585,mg/cm2,25,mL,1,mg,2.4,mg,,,
6/1/2026,2021914,PBIO,NRS23_KS_10161,5/22/2023,1,KS,NRS_KS-10357,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,236062,2310012,8/2/2023,5/25/2023,72,days,31.6,mg/L,0.1304,mg/cm2,25,mL,1,mg,0.8,mg,LRL,"S,L",
6/1/2026,2021920,PBIO,NRS23_OK_10104,5/30/2023,1,OK,NRS_OK-10272,ODEQ,PERIPHYTON,REGULAR,AFDM,6/29/2023,249462,OWRB-1806589-09,6/29/2023,,30,days,560,mg/L,2.1,mg/cm2,10,mL,,,,,,,
6/1/2026,2021921,PBIO,NRS23_TX_10023,5/30/2023,1,TX,NRS_TX-10290,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,236922,2310015,8/2/2023,6/2/2023,64,days,309,mg/L,1.159,mg/cm2,25,mL,1,mg,7.7,mg,,S,
6/1/2026,2021922,PBIO,NRS23_OK_10060,5/31/2023,1,OK,NRS_OK-10195,ODEQ,PERIPHYTON,REGULAR,AFDM,6/29/2023,249542,OWRB-1803891-09,6/29/2023,,29,days,540,mg/L,2.025,mg/cm2,20,mL,,,,,Q,Q,
6/1/2026,2021923,PBIO,NRS23_TX_10022,5/31/2023,1,TX,NRS_TX-10289,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,231702,2310013,8/2/2023,6/1/2023,63,days,80.8,mg/L,0.303,mg/cm2,25,mL,1,mg,2,mg,,,
6/1/2026,2021925,PBIO,NRS23_NJ_10011,6/1/2023,1,NJ,NRS_NJ-10080,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,240142,2310014,8/2/2023,6/2/2023,62,days,669,mg/L,2.534,mg/cm2,25,mL,1,mg,16.7,mg,,,
6/1/2026,2021927,PBIO,NRS23_KY_10019,6/1/2023,1,KY,NRS_KY-10126,PESD-AL,PERIPHYTON,REGULAR,AFDM,NO_RESULT,234902,,,,,,,,,,,,,,,,,NR,Invalid measurment
6/1/2026,2021928,PBIO,NRS23_TX_10021,6/1/2023,1,TX,NRS_TX-10288,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,236902,2310020,8/2/2023,6/5/2023,62,days,72,mg/L,0.27,mg/cm2,25,mL,1,mg,1.8,mg,,S,
6/1/2026,2021932,PBIO,NRS23_WA_10126,6/1/2023,1,WA,NRS_WA-10532,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,240562,2310018,8/2/2023,6/3/2023,62,days,371,mg/L,1.391,mg/cm2,25,mL,1,mg,9.3,mg,,,
6/1/2026,2021934,PBIO,NRS23_OH_10003,6/1/2023,1,OH,NRS_OH-10097,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,234722,2310019,8/2/2023,6/3/2023,62,days,85.6,mg/L,0.321,mg/cm2,25,mL,1,mg,2.1,mg,,,
6/1/2026,2021936,PBIO,NRS23_WA_10057,6/2/2023,1,WA,NRS_WA-10452,PESD-AL,PERIPHYTON,REGULAR,AFDM,NO_RESULT,236262,,,,,,,,,,,,,,,,,NR,Invalid measurment
6/1/2026,2021937,PBIO,NRS23_WA_10058,6/4/2023,1,WA,NRS_WA-10457,PESD-AL,PERIPHYTON,REGULAR,AFDM,230802.1,235382,2310021,8/2/2023,6/6/2023,59,days,17.6,mg/L,0.066,mg/cm2,25,mL,1,mg,0.4,mg,LRL,L,
6/1/2026,2021938,PBIO,NRS23_WA_10066,6/4/2023,1,WA,NRS_WA-10462,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,236462,2310024,9/7/2023,6/7/2023,95,days,300,mg/L,1.125,mg/cm2,25,mL,1,mg,7.5,mg,,S,
6/1/2026,2021939,PBIO,NRS23_MI_10082,6/4/2023,1,MI,NRS_MI-10171,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,234122,2310022,9/7/2023,6/6/2023,95,days,294,mg/L,1.102,mg/cm2,25,mL,1,mg,7.4,mg,,,
6/1/2026,2021942,PBIO,NRS23_PA_10042,6/5/2023,1,PA,NRS_PA-10134,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,242002,2310031,9/7/2023,6/7/2023,94,days,136,mg/L,0.51,mg/cm2,25,mL,1,mg,3.4,mg,,,
6/1/2026,2021943,PBIO,NRS23_IA_10006,6/5/2023,1,IA,NRS_IA-10139,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,232002,2310027,9/7/2023,6/7/2023,94,days,337,mg/L,1.264,mg/cm2,25,mL,1,mg,8.4,mg,,,
6/1/2026,2021944,PBIO,NRS23_WI_10011,6/5/2023,1,WI,NRS_WI-10178,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,235342,2310029,9/7/2023,6/7/2023,94,days,220,mg/L,0.825,mg/cm2,25,mL,1,mg,5.5,mg,,,
6/1/2026,2021945,PBIO,NRS23_IA_10049,6/5/2023,1,IA,NRS_IA-10186,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,242502,2310023,9/7/2023,6/6/2023,94,days,420,mg/L,1.591,mg/cm2,25,mL,1,mg,10.5,mg,,,
6/1/2026,2021946,PBIO,NRS23_MI_10179,6/5/2023,1,MI,NRS_MI-10288,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,234262,2310028,9/7/2023,6/7/2023,94,days,190,mg/L,0.7125,mg/cm2,25,mL,1,mg,4.8,mg,,,
6/1/2026,2021947,PBIO,NRS23_OK_10046,6/5/2023,1,OK,NRS_OK-10253,ODEQ,PERIPHYTON,REGULAR,AFDM,6/29/2023,240462,OWRB-1804223-09,6/29/2023,,24,days,230,mg/L,0.8625,mg/cm2,20,mL,,,,,,,
6/1/2026,2021948,PBIO,NRS23_KS_10239,6/5/2023,1,KS,NRS_KS-10435,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,235402,2310026,9/7/2023,6/7/2023,94,days,229,mg/L,0.8674,mg/cm2,25,mL,1,mg,5.7,mg,,,
6/1/2026,2021949,PBIO,NRS23_WA_10037,6/5/2023,1,WA,NRS_WA-10485,PESD-AL,PERIPHYTON,REGULAR,AFDM,230912.1,236482,2310044,9/12/2023,6/8/2023,99,days,205,mg/L,0.7687,mg/cm2,25,mL,1,mg,5.1,mg,,S,
6/1/2026,2021950,PBIO,NRS23_LA_10026,6/5/2023,1,LA,NRS_LA-10229,PESD-AL,PERIPHYTON,REGULAR,AFDM,230907.1,250402,2310025,9/7/2023,6/7/2023,94,days,205,mg/L,0.7687,mg/cm2,25,mL,1,mg,5.1,mg,,,
