PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,PSTL_CODE,VISIT_NO,DATE_COL,LAB_SAMPLE_ID,SAMPLE_ID,LAB,MATRIX,SAM_CODE,DATE_RECEIVED,BATCH_ID,DATE_ANALYZED,DILUTION_FACTOR,EXTRACT,HOLDING_TIME,MDL,NARS_FLAG,QA_FLAG,RESULT,RESULT_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RL,SHIP_FLAG,VOLUME_ADJUST,VOLUME_FILTERED
6/2/2026,2021885,NRS_AZ-10690,NRS23_AZ_10001,AZ,1,4/23/2023,2310002,234603,PESD-AL,PERIPHYTON,REGULAR,4/26/2023,230519.1,5/19/2023,,1.31,26,0.29,S,,0.007955,ug/cm2,2.1,ug/L,1,,,25
6/2/2026,2021886,NRS_AZ-10714,NRS23_AZ_10043,AZ,1,4/24/2023,2310001,234583,PESD-AL,PERIPHYTON,REGULAR,4/26/2023,230519.1,5/19/2023,,290,25,0.29,,,1.74,ug/cm2,464,ug/L,1,,,25
6/2/2026,2021888,NRS_AZ-10722,NRS23_AZ_10051,AZ,1,4/26/2023,2310003,234523,PESD-AL,PERIPHYTON,REGULAR,4/28/2023,230519.1,5/19/2023,,577,23,0.29,,,3.461,ug/cm2,923,ug/L,1,,,25
6/2/2026,2021889,NRS_AZ-10731,NRS23_AZ_10058,AZ,1,4/27/2023,2310004,234543,PESD-AL,PERIPHYTON,REGULAR,4/28/2023,230519.1,5/19/2023,,59.3,22,0.29,,,0.3559,ug/cm2,94.9,ug/L,1,,,25
6/2/2026,2021890,NRS_AZ-10721,NRS23_AZ_10050,AZ,1,4/30/2023,2310005,236843,PESD-AL,PERIPHYTON,REGULAR,5/2/2023,230523.1,5/23/2023,,58.1,23,0.29,,,0.3487,ug/cm2,93,ug/L,1,,,25
6/2/2026,2021893,NRS_AZ-11317,NRS23_AZ_10109,AZ,1,5/2/2023,2310006,234663,PESD-AL,PERIPHYTON,REGULAR,5/4/2023,230523.1,5/23/2023,,283,21,0.29,,,1.699,ug/cm2,453,ug/L,1,,,25
6/2/2026,2021898,NRS_AZ-10730,NRS23_AZ_10057,AZ,1,5/3/2023,2310007,236863,PESD-AL,PERIPHYTON,REGULAR,5/5/2023,230523.1,5/23/2023,,92.2,20,0.29,,,0.555,ug/cm2,148,ug/L,1,,,25
6/2/2026,2021899,NRS_AZ-11327,NRS23_AZ_10119,AZ,1,5/7/2023,2310008,234683,PESD-AL,PERIPHYTON,REGULAR,5/9/2023,230523.1,5/23/2023,,43.1,16,0.29,,,0.2588,ug/cm2,69,ug/L,1,,,25
6/2/2026,2021900,NRS_AZ-10690,NRS23_AZ_10001,AZ,2,5/8/2023,2310009,236823,PESD-AL,PERIPHYTON,REGULAR,5/10/2023,230524.1,5/24/2023,,27.9,16,0.29,,,0.1672,ug/cm2,44.6,ug/L,1,,,25
6/2/2026,2021901,NRS_AZ-10698,NRS23_AZ_10011,AZ,1,5/9/2023,2310010,234643,PESD-AL,PERIPHYTON,REGULAR,5/11/2023,230524.1,5/24/2023,,157,15,0.29,,,0.9412,ug/cm2,251,ug/L,1,,,25
6/2/2026,2021908,NRS_AZ-10729,NRS23_AZ_10053,AZ,1,5/11/2023,2310011,232243,PESD-AL,PERIPHYTON,REGULAR,5/13/2023,230524.1,5/24/2023,,38.9,13,0.29,,,0.2332,ug/cm2,62.2,ug/L,1,,,25
6/2/2026,2021914,NRS_KS-10357,NRS23_KS_10161,KS,1,5/22/2023,2310012,236063,PESD-AL,PERIPHYTON,REGULAR,5/25/2023,230605.1,6/5/2023,,117,14,0.29,S,,0.7714,ug/cm2,187,ug/L,1,,,25
6/2/2026,2021920,NRS_OK-10272,NRS23_OK_10104,OK,1,5/30/2023,,249463,ODEQ,PERIPHYTON,REGULAR,6/1/2023,6/21/2023,6/21/2023,,14.8,22,,H,H,0.234,ug/cm2,62.4,ug/L,0.5,,,10
6/2/2026,2021921,NRS_TX-10290,NRS23_TX_10023,TX,1,5/30/2023,2310015,236923,PESD-AL,PERIPHYTON,REGULAR,6/2/2023,230605.1,6/5/2023,,246,6,0.29,S,,1.478,ug/cm2,394,ug/L,1,,,25
6/2/2026,2021922,NRS_OK-10195,NRS23_OK_10060,OK,1,5/31/2023,,249543,ODEQ,PERIPHYTON,REGULAR,6/1/2023,6/21/2023,6/21/2023,,14.8,21,,,,0.229,ug/cm2,61.07,ug/L,0.5,,,20
6/2/2026,2021923,NRS_TX-10289,NRS23_TX_10022,TX,1,5/31/2023,2310013,231703,PESD-AL,PERIPHYTON,REGULAR,6/1/2023,230605.1,6/5/2023,,358,5,0.29,,,2.149,ug/cm2,573,ug/L,1,,,25
6/2/2026,2021925,NRS_NJ-10080,NRS23_NJ_10011,NJ,1,6/1/2023,2310014,240143,PESD-AL,PERIPHYTON,REGULAR,6/2/2023,230605.1,6/5/2023,,317,4,0.29,,,1.92,ug/cm2,507,ug/L,1,,,25
6/2/2026,2021927,NRS_KY-10126,NRS23_KY_10019,KY,1,6/1/2023,2310016,234903,PESD-AL,PERIPHYTON,REGULAR,6/3/2023,230605.1,6/5/2023,,528,4,0.29,,,3.169,ug/cm2,845,ug/L,1,,,25
6/2/2026,2021928,NRS_TX-10288,NRS23_TX_10021,TX,1,6/1/2023,2310020,236903,PESD-AL,PERIPHYTON,REGULAR,6/5/2023,230608.1,6/8/2023,,149,7,0.29,S,,0.8925,ug/cm2,238,ug/L,1,,,25
6/2/2026,2021932,NRS_WA-10532,NRS23_WA_10126,WA,1,6/1/2023,2310018,240563,PESD-AL,PERIPHYTON,REGULAR,6/3/2023,230608.1,6/8/2023,9,2763,7,0.29,,,16.58,ug/cm2,4420,ug/L,1,,,25
