PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,PSTL_CODE,VISIT_NO,DATE_COL,CHEM_LAB_SAMPLE_ID,CHEM_SAMPLE_ID,WCHL_LAB_SAMPLE_ID,WCHL_SAMPLE_ID,LAB,MATRIX,SAM_CODE,CHEM_DATE_RECEIVED,AMMONIA_N_BATCH_ID,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_DILUTION_FACTOR,AMMONIA_N_HOLDING_TIME,AMMONIA_N_MDL,AMMONIA_N_NARS_FLAG,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,AMMONIA_N_UNITS,ANC_BATCH_ID,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_MDL,ANC_NARS_FLAG,ANC_QA_FLAG,ANC_RESULT,ANC_RL,ANC_UNITS,CALCIUM_BATCH_ID,CALCIUM_DATE_ANALYZED,CALCIUM_DILUTION_FACTOR,CALCIUM_HOLDING_TIME,CALCIUM_MDL,CALCIUM_NARS_FLAG,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CALCIUM_UNITS,CHLORIDE_BATCH_ID,CHLORIDE_DATE_ANALYZED,CHLORIDE_DILUTION_FACTOR,CHLORIDE_HOLDING_TIME,CHLORIDE_MDL,CHLORIDE_NARS_FLAG,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,CHLORIDE_UNITS,COLOR_BATCH_ID,COLOR_DATE_ANALYZED,COLOR_DILUTION_FACTOR,COLOR_HOLDING_TIME,COLOR_MDL,COLOR_NARS_FLAG,COLOR_QA_FLAG,COLOR_RESULT,COLOR_RL,COLOR_UNITS,COND_BATCH_ID,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_MDL,COND_NARS_FLAG,COND_QA_FLAG,COND_RESULT,COND_RL,COND_UNITS,DOC_BATCH_ID,DOC_DATE_ANALYZED,DOC_DILUTION_FACTOR,DOC_HOLDING_TIME,DOC_MDL,DOC_NARS_COMMENT,DOC_NARS_FLAG,DOC_QA_FLAG,DOC_RESULT,DOC_RL,DOC_UNITS,MAGNESIUM_BATCH_ID,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_DILUTION_FACTOR,MAGNESIUM_HOLDING_TIME,MAGNESIUM_MDL,MAGNESIUM_NARS_FLAG,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,MAGNESIUM_UNITS,NITRATE_N_BATCH_ID,NITRATE_N_DATE_ANALYZED,NITRATE_N_DILUTION_FACTOR,NITRATE_N_HOLDING_TIME,NITRATE_N_MDL,NITRATE_N_NARS_FLAG,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_N_UNITS,NITRATE_NITRITE_N_BATCH_ID,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_NARS_FLAG,NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRATE_NITRITE_N_UNITS,NITRITE_N_BATCH_ID,NITRITE_N_DATE_ANALYZED,NITRITE_N_DILUTION_FACTOR,NITRITE_N_HOLDING_TIME,NITRITE_N_MDL,NITRITE_N_NARS_FLAG,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NITRITE_N_UNITS,NTL_BATCH_ID,NTL_DATE_ANALYZED,NTL_DILUTION_FACTOR,NTL_HOLDING_TIME,NTL_MDL,NTL_NARS_FLAG,NTL_QA_FLAG,NTL_RESULT,NTL_RL,NTL_UNITS,PH_BATCH_ID,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_NARS_FLAG,PH_QA_FLAG,PH_RESULT,PH_UNITS,POTASSIUM_BATCH_ID,POTASSIUM_DATE_ANALYZED,POTASSIUM_DILUTION_FACTOR,POTASSIUM_HOLDING_TIME,POTASSIUM_MDL,POTASSIUM_NARS_FLAG,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,POTASSIUM_UNITS,PTL_BATCH_ID,PTL_DATE_ANALYZED,PTL_DILUTION_FACTOR,PTL_HOLDING_TIME,PTL_MDL,PTL_NARS_FLAG,PTL_QA_FLAG,PTL_RESULT,PTL_RL,PTL_UNITS,SILICA_BATCH_ID,SILICA_DATE_ANALYZED,SILICA_DILUTION_FACTOR,SILICA_HOLDING_TIME,SILICA_MDL,SILICA_NARS_FLAG,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SILICA_UNITS,SODIUM_BATCH_ID,SODIUM_DATE_ANALYZED,SODIUM_DILUTION_FACTOR,SODIUM_HOLDING_TIME,SODIUM_MDL,SODIUM_NARS_FLAG,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SODIUM_UNITS,SULFATE_BATCH_ID,SULFATE_DATE_ANALYZED,SULFATE_DILUTION_FACTOR,SULFATE_HOLDING_TIME,SULFATE_MDL,SULFATE_NARS_FLAG,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,SULFATE_UNITS,TSS_BATCH_ID,TSS_DATE_ANALYZED,TSS_HOLDING_TIME,TSS_MDL,TSS_NARS_FLAG,TSS_QA_FLAG,TSS_RESULT,TSS_RL,TSS_UNITS,TURB_BATCH_ID,TURB_DATE_ANALYZED,TURB_DILUTION_FACTOR,TURB_HOLDING_TIME,TURB_MDL,TURB_NARS_FLAG,TURB_QA_FLAG,TURB_RESULT,TURB_RL,TURB_UNITS,WCHL_DATE_RECEIVED,CHLA_BATCH_ID,CHLA_DATE_ANALYZED,CHLA_DILUTION_FACTOR,CHLA_EXTRACT,CHLA_EXTRACT_UNITS,CHLA_HOLDING_TIME,CHLA_MDL,CHLA_NARS_FLAG,CHLA_QA_FLAG,CHLA_RESULT,CHLA_RL,CHLA_UNITS,CHLA_VOLUME_ADJUST,CHLA_VOLUME_FILTERED,WCHL_BATCH_ID,WCHL_NARS_FLAG,WCHL_SHIP_FLAG
6/1/2026,2021885,NRS_AZ-10690,NRS23_AZ_10001,AZ,1,4/23/2023,2310002,234600,2310002,234601,PESD-AL,WATER,REGULAR,4/26/2023,230516.1,5/16/2023,1,23,0.0015,S,,0.007,0.004,mg N/L,230426.1,4/26/2023,3,,S,,2450,,uEq/L,231019.2,10/19/2023,1,179,0.01,S,,41.9,0.05,mg/L,230428.2,4/28/2023,1,5,0.001,S,,2.44,0.06,mg/L,230426,4/26/2023,,3,,S,,25,,APHA PT-CO,230426.1,4/26/2023,3,,S,,257,2,uS/cm at 25 C,230509.1,5/9/2023,1,16,0.049,,S,,2.45,0.2,mg/L,231019.2,10/19/2023,1,179,0.002,S,,6.15,0.02,mg/L,230428.2,4/28/2023,1,5,0.0015,S,,0.362,0.02,mg N/L,,,,,,,,,,230428.2,4/28/2023,1,5,0.0003,S;L,EST,0.001,0.02,mg N/L,230505.1,5/5/2023,,12,0.002,S,,0.505,0.02,mg/L,230426.1,4/26/2023,3,S,,8.22,,231019.2,10/19/2023,1,179,0.01,S,,1.26,0.1,mg/L,230505.1,5/5/2023,,12,0.7,S,,92.9,4,ug/L,230504.1,5/4/2023,,11,0.005,S,,9.84,0.05,mg/L,231019.2,10/19/2023,1,179,0.005,S,,4.35,0.1,mg/L,230428.2,4/28/2023,1,5,0.001,S,,8.38,0.18,mg/L,230428.1,4/28/2023,5,,S,,19.8,2,mg/L,230426.1,4/26/2023,,3,,S,,9.4,2,NTU,4/26/2023,230519.1,5/19/2023,,0.921,ug/L,26,0.29,"S,L",EST,0.074,1,ug/L,,500,,,
6/1/2026,2021886,NRS_AZ-10714,NRS23_AZ_10043,AZ,1,4/24/2023,2310001,234580,2310001,234581,PESD-AL,WATER,REGULAR,4/26/2023,230516.1,5/16/2023,1,22,0.0015,,,0.063,0.004,mg N/L,230426.1,4/26/2023,2,,,,5990,,uEq/L,231019.2,10/19/2023,1,178,0.01,,,164,0.05,mg/L,230428.2,4/28/2023,10,4,0.01,,,195,0.6,mg/L,230426,4/26/2023,,2,,,,5,,APHA PT-CO,230426.1,4/26/2023,2,,,,2000,2,uS/cm at 25 C,230509.1,5/9/2023,1,15,0.049,,,,2.2,0.2,mg/L,231019.2,10/19/2023,1,178,0.002,,,56.3,0.02,mg/L,230428.2,4/28/2023,10,4,0.015,L,EST,0.161,0.2,mg N/L,,,,,,,,,,230428.2,4/28/2023,10,4,0.003,L,EST,0.01,0.2,mg N/L,230505.1,5/5/2023,,11,0.002,,,0.51,0.02,mg/L,230426.1,4/26/2023,2,,,8.02,,231019.2,10/19/2023,1,178,0.01,,,5.28,0.1,mg/L,230505.1,5/5/2023,,11,0.7,,,67,4,ug/L,230504.1,5/4/2023,,10,0.005,,,20.8,0.05,mg/L,231019.2,10/19/2023,1,178,0.005,,,210,0.1,mg/L,230428.2,4/28/2023,10,4,0.01,,,536,1.8,mg/L,230428.1,4/28/2023,4,,,,14.6,2,mg/L,230501.2,5/1/2023,,7,,H,H,7.2,2,NTU,4/26/2023,230519.1,5/19/2023,,37.9,ug/L,25,0.29,,,3.79,1,ug/L,,400,,,
6/1/2026,2021888,NRS_AZ-10722,NRS23_AZ_10051,AZ,1,4/26/2023,2310003,234520,2310003,234521,PESD-AL,WATER,REGULAR,4/28/2023,230516.1,5/16/2023,2,20,0.003,,,0.475,0.008,mg N/L,230428.1,4/28/2023,2,,,,5200,,uEq/L,231019.2,10/19/2023,1,176,0.01,,,142,0.05,mg/L,230428.2,4/28/2023,10,2,0.01,,,218,0.6,mg/L,230428,4/28/2023,,2,,,,5,,APHA PT-CO,230428.1,4/28/2023,2,,,,2050,2,uS/cm at 25 C,230509.1,5/9/2023,1,13,0.049,,,,1.88,0.2,mg/L,231019.2,10/19/2023,1,176,0.002,,,50.2,0.02,mg/L,230428.2,4/28/2023,10,2,0.015,,,2.8,0.2,mg N/L,,,,,,,,,,230428.2,4/28/2023,10,2,0.003,L,EST,0.044,0.2,mg N/L,230515.1,5/15/2023,,19,0.002,,,4.08,0.02,mg/L,230428.1,4/28/2023,2,,,8,,231019.2,10/19/2023,1,176,0.01,,,5.54,0.1,mg/L,230505.1,5/5/2023,,9,0.7,,,175,4,ug/L,230504.1,5/4/2023,,8,0.005,,,17.2,0.05,mg/L,231019.2,10/19/2023,1,176,0.005,,,230,0.1,mg/L,230428.2,4/28/2023,10,2,0.01,,,498,1.8,mg/L,230428.1,4/28/2023,2,,,,131,2,mg/L,230428.1,4/28/2023,,2,,,,22,2,NTU,4/28/2023,230519.1,5/19/2023,,66.3,ug/L,23,0.29,,,10.6,1,ug/L,,250,,,
6/1/2026,2021889,NRS_AZ-10731,NRS23_AZ_10058,AZ,1,4/27/2023,2310004,234540,2310004,234541,PESD-AL,WATER,REGULAR,4/28/2023,230516.1,5/16/2023,1,19,0.0015,,,0.011,0.004,mg N/L,230428.1,4/28/2023,1,,,,5030,,uEq/L,231019.2,10/19/2023,1,175,0.01,,,66.3,0.05,mg/L,230428.2,4/28/2023,10,1,0.01,,,39.9,0.6,mg/L,230428,4/28/2023,,1,,,,10,,APHA PT-CO,230428.1,4/28/2023,1,,,,693,2,uS/cm at 25 C,230509.1,5/9/2023,1,12,0.049,,,,2.54,0.2,mg/L,231019.2,10/19/2023,1,175,0.002,,,20.7,0.02,mg/L,230428.2,4/28/2023,10,1,0.015,,,1.01,0.2,mg N/L,,,,,,,,,,230428.2,4/28/2023,10,1,0.003,L,EST,0.014,0.2,mg N/L,230505.1,5/5/2023,,8,0.002,,,1.27,0.02,mg/L,230428.1,4/28/2023,1,,,8.43,,231019.2,10/19/2023,1,175,0.01,,,3.45,0.1,mg/L,230505.1,5/5/2023,,8,0.7,,,124,4,ug/L,230504.1,5/4/2023,,7,0.005,,,28.5,0.05,mg/L,231019.2,10/19/2023,1,175,0.005,,,55.4,0.1,mg/L,230428.2,4/28/2023,10,1,0.01,,,48.4,1.8,mg/L,230428.1,4/28/2023,1,,,,17.2,2,mg/L,230428.1,4/28/2023,,1,,,,5.5,2,NTU,4/28/2023,230519.1,5/19/2023,,43.7,ug/L,22,0.29,,,2.33,1,ug/L,,750,,,
6/1/2026,2021890,NRS_AZ-10721,NRS23_AZ_10050,AZ,1,4/30/2023,2310005,236840,2310005,236841,PESD-AL,WATER,REGULAR,5/2/2023,230516.1,5/16/2023,1,16,0.0015,,,0.015,0.004,mg N/L,230503.1,5/3/2023,3,,,,3240,,uEq/L,231019.2,10/19/2023,1,172,0.01,,,48.9,0.05,mg/L,230506.1,5/6/2023,5,6,0.005,,,81.6,0.3,mg/L,230502,5/2/2023,,2,,,,25,,APHA PT-CO,230503.1,5/3/2023,3,,,,688,2,uS/cm at 25 C,230509.1,5/9/2023,1,9,0.049,,,,6.11,0.2,mg/L,231019.2,10/19/2023,1,172,0.002,,,12.4,0.02,mg/L,230506.1,5/6/2023,5,6,0.0075,,,0.103,0.1,mg N/L,,,,,,,,,,230506.1,5/6/2023,5,6,0.0015,ND,MDL,,0.1,mg N/L,230515.1,5/15/2023,,15,0.002,,,0.584,0.02,mg/L,230503.1,5/3/2023,3,,,8.53,,231019.2,10/19/2023,1,172,0.01,,,4.39,0.1,mg/L,230515.1,5/15/2023,,15,0.7,,,273,4,ug/L,230504.1,5/4/2023,,4,0.005,,,28.5,0.05,mg/L,231019.2,10/19/2023,1,172,0.005,,,73.9,0.1,mg/L,230506.1,5/6/2023,5,6,0.005,,,58.9,0.9,mg/L,230503.1,5/3/2023,3,,,,87.1,2,mg/L,230503.1,5/3/2023,,3,,,,31.4,2,NTU,5/2/2023,230523.1,5/23/2023,,38.9,ug/L,23,0.29,,,6.22,1,ug/L,,250,,,
6/1/2026,2021893,NRS_AZ-11317,NRS23_AZ_10109,AZ,1,5/2/2023,2310006,234660,2310006,234661,PESD-AL,WATER,REGULAR,5/4/2023,230516.1,5/16/2023,1,14,0.0015,,,0.011,0.004,mg N/L,230510.1,5/10/2023,8,,H,H,2660,,uEq/L,231019.2,10/19/2023,1,170,0.01,,,42.4,0.05,mg/L,230506.1,5/6/2023,2,4,0.002,,,22.6,0.12,mg/L,230504,5/4/2023,,2,,,,5,,APHA PT-CO,230510.1,5/10/2023,8,,H,H,372,2,uS/cm at 25 C,230509.1,5/9/2023,1,7,0.049,,,,2.85,0.2,mg/L,231019.2,10/19/2023,1,170,0.002,,,9.79,0.02,mg/L,230506.1,5/6/2023,2,4,0.003,L,EST,0.017,0.04,mg N/L,,,,,,,,,,230506.1,5/6/2023,2,4,0.0006,ND,MDL,,0.04,mg N/L,230515.1,5/15/2023,,13,0.002,,,0.145,0.02,mg/L,230505.1,5/5/2023,3,,,8.42,,231019.2,10/19/2023,1,170,0.01,,,1.37,0.1,mg/L,230515.1,5/15/2023,,13,0.7,,,9,4,ug/L,230522.1,5/22/2023,,20,0.005,,,10.2,0.05,mg/L,231019.2,10/19/2023,1,170,0.005,,,16.5,0.1,mg/L,230506.1,5/6/2023,2,4,0.002,,,7.97,0.36,mg/L,230509.1,5/9/2023,7,,L,LRL,0.5,2,mg/L,230510.1,5/10/2023,,8,,H;L,H; LRL,0.71,2,NTU,5/4/2023,230523.1,5/23/2023,,12.6,ug/L,21,0.29,,,0.672,1,ug/L,,750,,,
6/1/2026,2021898,NRS_AZ-10730,NRS23_AZ_10057,AZ,1,5/3/2023,2310007,236860,2310007,236861,PESD-AL,WATER,REGULAR,5/5/2023,230516.1,5/16/2023,1,13,0.0015,,,0.01,0.004,mg N/L,230510.1,5/10/2023,7,,,,3550,,uEq/L,231019.2,10/19/2023,1,169,0.01,,,48.2,0.05,mg/L,230506.1,5/6/2023,2,3,0.002,,,8.83,0.12,mg/L,230505,5/5/2023,,2,,,,5,,APHA PT-CO,230510.1,5/10/2023,7,,,,438,2,uS/cm at 25 C,230509.1,5/9/2023,1,6,0.049,,,,1.08,0.2,mg/L,231019.2,10/19/2023,1,169,0.002,,,8.32,0.02,mg/L,230506.1,5/6/2023,2,3,0.003,,,0.334,0.04,mg N/L,,,,,,,,,,230506.1,5/6/2023,2,3,0.0006,L,EST,0.002,0.04,mg N/L,230515.1,5/15/2023,,12,0.002,,,0.443,0.02,mg/L,230505.1,5/5/2023,2,,,8.41,,231019.2,10/19/2023,1,169,0.01,,,2.52,0.1,mg/L,230515.1,5/15/2023,,12,0.7,,,60.8,4,ug/L,230522.1,5/22/2023,,19,0.005,,,35.7,0.05,mg/L,231019.2,10/19/2023,1,169,0.005,,,29.1,0.1,mg/L,230506.1,5/6/2023,2,3,0.002,,,20.4,0.36,mg/L,230510.1,5/10/2023,7,,,,2.6,2,mg/L,230510.1,5/10/2023,,7,,H;L,H; LRL,0.49,2,NTU,5/5/2023,230523.1,5/23/2023,,31.9,ug/L,20,0.29,,,1.7,1,ug/L,,750,,,
6/1/2026,2021899,NRS_AZ-11327,NRS23_AZ_10119,AZ,1,5/7/2023,2310008,234680,2310008,234681,PESD-AL,WATER,REGULAR,5/9/2023,230516.1,5/16/2023,1,9,0.0015,,,0.006,0.004,mg N/L,230510.1,5/10/2023,3,,,,3180,,uEq/L,231019.2,10/19/2023,1,165,0.01,,,44.3,0.05,mg/L,230513.1,5/13/2023,2,6,0.002,,,33.5,0.12,mg/L,230509,5/9/2023,,2,,,,5,,APHA PT-CO,230510.1,5/10/2023,3,,,,467,2,uS/cm at 25 C,230509.1,5/9/2023,1,2,0.049,,,,2.41,0.2,mg/L,231019.2,10/19/2023,1,165,0.002,,,13,0.02,mg/L,230513.1,5/13/2023,2,6,0.003,L,EST,0.005,0.04,mg N/L,,,,,,,,,,230513.1,5/13/2023,2,6,0.0006,ND,MDL,,0.04,mg N/L,230515.1,5/15/2023,,8,0.002,,,0.109,0.02,mg/L,230510.1,5/10/2023,3,,,8.3,,231019.2,10/19/2023,1,165,0.01,,,1.17,0.1,mg/L,230515.1,5/15/2023,,8,0.7,,,110,4,ug/L,230522.1,5/22/2023,,15,0.005,,,31.5,0.05,mg/L,231019.2,10/19/2023,1,165,0.005,,,30.4,0.1,mg/L,230513.1,5/13/2023,2,6,0.002,,,12.3,0.36,mg/L,230511.1,5/11/2023,4,,,,4.4,2,mg/L,230510.1,5/10/2023,,3,,L,LRL,0.39,2,NTU,5/9/2023,230524.1,5/24/2023,,19,ug/L,17,0.29,,,0.507,1,ug/L,,1500,,,
6/1/2026,2021900,NRS_AZ-10690,NRS23_AZ_10001,AZ,2,5/8/2023,2310009,236820,2310009,236821,PESD-AL,WATER,REGULAR,5/10/2023,230516.1,5/16/2023,1,8,0.0015,L,EST,0.003,0.004,mg N/L,230510.1,5/10/2023,2,,,,2920,,uEq/L,231019.2,10/19/2023,1,164,0.01,,,49.7,0.05,mg/L,230513.1,5/13/2023,2,5,0.002,,,2.97,0.12,mg/L,230510,5/10/2023,,2,,,,0,,APHA PT-CO,230510.1,5/10/2023,2,,,,330,2,uS/cm at 25 C,230526.1,5/26/2023,1,18,0.049,,,,2.14,0.2,mg/L,231019.2,10/19/2023,1,164,0.002,,,7.18,0.02,mg/L,230513.1,5/13/2023,2,5,0.003,,,0.227,0.04,mg N/L,,,,,,,,,,230513.1,5/13/2023,2,5,0.0006,ND,MDL,,0.04,mg N/L,230515.1,5/15/2023,,7,0.002,,,0.343,0.02,mg/L,230510.1,5/10/2023,2,,,8.46,,231019.2,10/19/2023,1,164,0.01,,,1.33,0.1,mg/L,230515.1,5/15/2023,,7,0.7,,,76,4,ug/L,230522.1,5/22/2023,,14,0.005,,,11.8,0.05,mg/L,231019.2,10/19/2023,1,164,0.005,,,5.38,0.1,mg/L,230513.1,5/13/2023,2,5,0.002,,,10.1,0.36,mg/L,230512.1,5/12/2023,4,,,,10.8,2,mg/L,230510.1,5/10/2023,,2,,,,4.1,2,NTU,5/10/2023,230524.1,5/24/2023,,8.25,ug/L,16,0.29,,,0.66,1,ug/L,,500,,,
6/1/2026,2021901,NRS_AZ-10698,NRS23_AZ_10011,AZ,1,5/9/2023,2310010,234640,2310010,234641,PESD-AL,WATER,REGULAR,5/11/2023,230516.1,5/16/2023,1,7,0.0015,,,0.014,0.004,mg N/L,230511.1,5/11/2023,2,,,,5020,,uEq/L,231019.2,10/19/2023,1,163,0.01,,,58.1,0.05,mg/L,230513.1,5/13/2023,2,4,0.002,,,13.8,0.12,mg/L,230511,5/11/2023,,2,,,,5,,APHA PT-CO,230511.1,5/11/2023,2,,,,555,2,uS/cm at 25 C,230526.1,5/26/2023,1,17,0.049,,,,1.16,0.2,mg/L,231019.2,10/19/2023,1,163,0.002,,,27.6,0.02,mg/L,230513.1,5/13/2023,2,4,0.003,L,EST,0.025,0.04,mg N/L,,,,,,,,,,230513.1,5/13/2023,2,4,0.0006,ND,MDL,,0.04,mg N/L,230515.1,5/15/2023,,6,0.002,,,0.164,0.02,mg/L,230511.1,5/11/2023,2,,,8.49,,231019.2,10/19/2023,1,163,0.01,,,2.05,0.1,mg/L,230515.1,5/15/2023,,6,0.7,,,25.1,4,ug/L,230522.1,5/22/2023,,13,0.005,,,13.4,0.05,mg/L,231019.2,10/19/2023,1,163,0.005,,,23.7,0.1,mg/L,230513.1,5/13/2023,2,4,0.002,,,24.6,0.36,mg/L,230512.1,5/12/2023,3,,,,2.3,2,mg/L,230511.1,5/11/2023,,2,,L,LRL,0.96,2,NTU,5/11/2023,230524.1,5/24/2023,,30.6,ug/L,15,0.29,,,1.22,1,ug/L,,1000,,,
